,Property_Name,Price_in_INR,No_of_Bedroom,Property_type
428,"Elm Tree Road, London, NW8",1059569950,7,House
429,"Lowndes Square, London, SW1X",1059569950,7,Duplex
430,"Marryat Road, Wimbledon Village, SW19",1057449750,7,Detached
431,"Park Road, Isleworth, TW7",1054799500,5,Detached
432,"Mallord Street, London, SW3",1054799500,3,Town House
433,"George Street, London, W1H",1054799500,5,Apartment
434,"Redington Gardens, Hampstead, London, NW3",1054799500,5,Semi-Detached
435,"Redington Gardens, Hampstead, London NW3",1054799500,6,House
436,"Chester Terrace, Marylebone, NW1",1054799500,5,Terraced
437,"Belgrave Place, Belgravia, London, SW1X",1054799500,6,Not Specified
438,"Elsworthy Road, London, NW3",1054799500,6,Semi-Detached
439,"Chester Terrace, London, NW1",1054799500,6,Terraced
440,"Hamilton Terrace, St Johns Wood, NW8",1054799500,5,Link Detached House
441,"Kings Gate Walk, London, SW1E",1054799500,7,Penthouse
442,"Hamilton Terrace, St. John's Wood, London, NW8",1054799500,5,Detached
443,"Montpelier Square, Knightsbridge, London, SW7",1054799500,5,House
444,"Hamilton Terrace, London, NW8",1054799500,4,Detached
445,"Chester Street, London, SW1X",1054799500,1,House
446,"Mallord Street, Chelsea, London",1054799500,3,House
447,"Chester Terrace, Regent's Park, London, NW1",1054799500,7,Terraced
448,"Ovington Square, Knightsbridge, London, SW3",1054799500,3,Town House
449,"Cadogan Square, London, SW1X",1054799500,3,Duplex
450,Parkhurst Road London N7 0LR,22527125,2,Apartment
451,"Grosvenor Square, Mayfair, London, W1K",1054799500,3,Flat
452,"Daleham Gardens, Hampstead, NW3",1054799500,3,House
453,"Worship Street, London, EC2A",1049499000,4,Flat
454,"Principal Tower, London, EC2A",1049499000,2,Penthouse
455,"Principal Place, EC2A",1049499000,3,Flat
456,"Principal Place, Worship Street, London",1049499000,3,Flat
457,"Worship Street, London, EC2A 2BA",1049499000,3,Apartment
458,"Ebury Square, London, SW1W",1049499000,4,Apartment
459,"Worship Street, Shoreditch, EC2A",1049499000,3,Apartment
460,"Worship Street, Shoreditch, London, EC2A",1049499000,3,Flat
461,"Principal Tower, Shoreditch",1049499000,3,Penthouse
462,"Principle Tower, EC2",1049499000,3,Penthouse
463,"Worship Street, London, EC2A 2",1049499000,3,Penthouse
464,"Principal Tower, Worship Street, Shoreditch, London EC2A",1049499000,3,Flat
465,"Worship Street, London, EC2A",1049499000,6,Penthouse
466,"Principal Tower, PRINCIPAL PLACE, WORSHIP STREET, London, EC2A",1049499000,7,Flat
467,"Principal Tower, 2 Principal Place, EC2A",1049499000,5,Flat
468,"Worship Street, London, EC2A",1049499000,5,Penthouse
469,"Worship Street, London, EC2A",1049499000,6,Penthouse
470,"Highwood Lodge, Highwood Hill, London, NW7",1033597500,2,Equestrian Facility
471,"Highwood Hill, Mill HIll, London, NW7",1033597500,8,Detached
472,"Holland Street, London, W8",1033597500,4,Town House
473,"Brunswick Gardens, Kensington, London, W8",1033597500,4,End of Terrace
474,"Holland Street, London, W8",1033597500,6,Terraced
475,"Eversleigh Road, SW11",90638550,5,House
476,"Roedean Crescent, London, SW15",1033597500,5,Detached
477,"8 Eaton Lane, Grosvenor Gardens, London, SW1W",1032537400,5,Apartment
478,"8 Eaton Lane, Belgravia, London, SW1, SW1W",1032537400,5,Apartment
479,"Carlyle Square, London, SW3",1022996500,5,Terraced
480,"Nine Elms, 71 Bondway, Parry Street, SW8",1017802010,5,Apartment
481,"Damac Tower, Damac Tower, SW8",1017802010,5,Flat
482,"Parry Street, Nine Elms",1017802010,5,Penthouse
483,"Damac Towers,, Nine Elms",1017802010,5,Penthouse
484,"Bondway, London, SW8 1",1017802010,5,Penthouse
485,"71 Bondway Parry St, London",1017802010,5,Apartment
486,"Damac Tower, Bondway, Nine Elms, SW8",1017802010,5,Duplex
487,"Bondway, London, SW8",1017802010,5,Penthouse
488,"DAMAC Tower, Nine Elms, London, SW8",1017802010,5,Penthouse
489,"Bondway, London, SW8",1017802010,3,Apartment
490,"Bondway, SW8 PENTHOUSE",1017802010,4,Penthouse
491,"Damac Tower Nine Elms, London, SW8",1017696000,7,Penthouse
492,"Damac Tower, Bondway, London, SW8",1017696000,3,Penthouse
493,"Parry Street, London, SW8",1017696000,3,Apartment
494,"Ref: MY - Worship Street, City of London, EC2A 2FB",1007095000,4,Penthouse
495,"Otto Schiff House, 12 Nutley Terrace, Hampstead, London, NW3",1007095000,2,Apartment
496,"Lancaster Grove, Belsize Park, London, NW3",1007095000,3,Detached
497,"Principal Tower, Principal Place, London EC2A",1007095000,5,Penthouse
498,"St. Pancras Chambers, Euston Road, NW1",1007095000,6,Penthouse
499,"Ebury Square, Belgravia, London, SW1W",1007095000,3,Flat
500,"Cheltenham Avenue, Twickenham",50354750,3,Flat
501,"Upper Grosvenor Street, Mayfair",1007095000,3,Flat
502,"St Edmund's Terrace, St. John's Wood, London, NW8",1007095000,4,Apartment
503,"Bishopswood Road, London, N6",1007095000,3,Detached
504,"The Penthouse, St. Pancras, Euston Road, London",1007095000,3,Penthouse
505,"Principal Tower, City of London",1007095000,3,Apartment
506,"Euston Road, LONDON, NW1",1007095000,3,Flat
507,"Ebury Square, Belgravia, London, SW1W",1007095000,6,Apartment
508,"Worship Street, London, EC2A",1007095000,3,Apartment
509,"Upper Grosvenor Street, London, W1K",1007095000,3,Apartment
510,"Principal Tower, Shoreditch, London",1007095000,3,Penthouse
511,"Principal Tower, Shoreditch High Street, London, EC2A",1007095000,3,Flat
512,"Southside Common, Wimbledon, London, SW19",1007095000,5,Detached
513,"One Kensington Gardens, Kensington Road, London",1007095000,2,Flat
514,St Pancras Chambers,1007095000,3,Apartment
515,"Eaton Square, London, SW1W",1001794500,6,Penthouse
516,"Eaton Square, London",1001794500,4,Penthouse
517,"Gerald Road, London, SW1W.",1001794500,6,Terraced
518,"Ref: SQP1 Marsh Wall, London, E14",1001794500,5,Flat
519,"Eaton Square, Belgravia, SW1W",1001794500,8,Flat
520,"Hamilton Terrace, St. John's Wood, London, NW8",991193500,2,Semi-Detached
521,"Inverforth House, North End Way, Hampstead, NW3",980592500,8,Apartment
522,"Kensington Gore, London, SW7",980592500,6,Flat
523,"Abingdon Road, Kensington, London, W8",980592500,6,Terraced
524,"The Bishops Avenue, N2",980592500,6,Detached
525,"Elm Quay Court, Battersea, London, SW8",125091800,5,Maisonette
526,"The Bishops Avenue, London, N2",980592500,5,Detached
527,"Palace Gardens Terrace, London, W8",980592500,5,Terraced
528,"Montpelier Square, Knightsbridge, London, SW7",980592500,2,Terraced
529,"The Bishops Avenue, London",980592500,5,Detached
530,"Stafford Terrace, Kensington, London",980592500,3,Terraced
531,"Albert Hall Mansions, Kensington Gore, London, SW7",980592500,8,Apartment
532,"Abingdon Road, W8",980592500,5,Town House
533,"Grosvenor Square, Mayfair",980592500,3,Flat
534,"Montpelier Square, Knightsbridge, London, SW7",980592500,4,Terraced
535,"Pembridge Crescent, Notting Hill, London, W11",980592500,5,Flat
536,21 The Bishops Ave,980592500,5,Detached
537,"Stafford Terrace, Kensington, London, W8.",980592500,5,Terraced
538,"Pembridge Crescent, Notting Hill, W11",980592500,3,Apartment
539,"St Leonard's Terrace, London",980592500,3,House
540,"Holland Park, London",954090000,3,Flat
541,"Rawlings Street, London, SW3",954090000,6,Terraced
542,"Chelsea Waterfront, Chelsea, London, SW10",954090000,3,Flat
543,"Boiler House, Battersea Power Station, London SW8",954090000,6,Apartment
544,"Lancelot Place, London, SW7",954090000,8,Flat
545,"The W1 London, Marylebone High Street, London, W1U",954090000,4,Apartment
546,"Lower Addison Gardens, London, W14",954090000,6,Terraced
547,"Park Modern, Hyde Park, London W2 3JH",954090000,3,Not Specified
548,"South Audley Street, Mayfair, W1K",954090000,5,Flat
549,"Cheyne Walk, London, SW10",954090000,6,Terraced
550,"Mount View Road, North Chingford",90108500,5,Semi-Detached
551,"Albion Riverside, London, SW11.",954090000,6,Apartment
552,"Park Modern, Apartment 12, 123 Bayswater Road, London, W2",954090000,3,Apartment
553,"Wycombe Square,London",954090000,6,End of Terrace
554,Albion Riverside,954090000,5,Penthouse
555,"Kensington Square, London, W8",953559950,3,Terraced
556,"Warwick Gardens, London, W14",948789500,3,Semi-Detached
557,"Chesham Street, SW1X",948789500,5,Apartment
558,"Warwick Gardens, London",948789500,4,End of Terrace
559,"Fitzjohns Avenue, Hampstead, London, NW3",948789500,4,End of Terrace
560,"Cadogan Square, London, SW1X",948789500,5,Penthouse
561,"Whistler Square, London, SW1W",948789500,3,Duplex
562,"Gloucester Gate, London, NW1",948789500,6,Terraced
563,"The Bishops Avenue, N2",948789500,3,Land for sale
564,"South Street, London, W1K",948789500,6,Apartment
565,"Radnor Place, London, W2",948789500,7,House
566,"Gloucester Gate, Regent's Park, London, NW1",948789500,4,Terraced
567,"Brook Street, Mayfair, W1K",948789500,4,Apartment
568,"Soho Square, London, W1D",948789500,3,Town House
569,"Chesham Street, Belgravia, SW1X",948789500,3,Apartment
570,"Compton Avenue, N6",948789500,8,Detached
571,"Sutherland Avenue, London, W9",948789500,5,Terraced
572,"190 Strand, London",948789500,8,Penthouse
573,"Wilton Street, London, SW1X",948789500,3,End of Terrace
574,"Brook Street, London, W1K",948789500,6,Apartment
575,"Seymour Place, Marylebone W1H",397537500,3,Flat
576,"Cheyne Place, Chelsea, London, SW3",948789500,2,End of Terrace
577,"Gloucester Gate, Regent's Park, London, NW1",948789500,4,Terraced
578,"Cheyne Place, London, SW3",948789500,3,Detached
579,"Marylebone Square, Aybrook Street, Marylebone, W1U",932888000,4,Flat
580,"Pembroke Road, Kensington, London",927587500,4,Terraced
581,"North Row, London, W1K",927587500,3,Penthouse
582,"Horse Guards Avenue, London, SW1A",927587500,6,Apartment
583,"Chapel Street, Marylebone, London, NW1",927587500,3,Land for sale
584,"Switch House West, Battersea Power Station, SW11",927587500,3,Penthouse
585,"Chesham Street, SW1X",927587500,5,Apartment
586,"Queen's Gate Terrace, South Kensington",927587500,5,Apartment
587,"Queensway, Bayswater, London, W2",927587500,6,Penthouse
588,"Cadogan Square, London, SW1X",927587500,3,Apartment
589,"Heath Drive, Hampstead, London, NW3",927587500,3,Detached
590,"Marylebone, London, W1U",922287000,5,Flat
591,"One Crown Place, Hackney, EC2A",914336250,3,Penthouse
592,"Perceval Avenue, London, NW3",901085000,5,Detached
593,"Netherhall Gardens, London, NW3",901085000,1,Detached
594,"Ingram Avenue, NW11",901085000,5,Detached
595,"Faraday House, 30 Blandford Street, London, W1U",901085000,5,Apartment
596,"Davies Street, London, W1K",901085000,8,Apartment
597,"Needham Road, London, W11",901085000,6,House
598,"The Tower, One St George Wharf, London",901085000,3,Apartment
599,"3 Merchant Square, London, W2",901085000,6,Apartment
600,"Bewley House, Bewley Street, London, E1",34453250,3,Flat
601,"Netherhall Gardens, Hampstead NW3",901085000,6,Detached
602,"Perceval Avenue, London",901085000,5,Detached
603,"Eldon Road, Kensington, London, W8",901085000,3,Semi-Detached
604,"Lincoln's Inn Fields, London, WC2",901085000,3,Block of Apartments
605,"Ingram Avenue, Hampstead Garden Suburb, London, NW11",901085000,3,Detached
606,"Holland Park Villas, 6 Campden Hill, London, W8",901085000,3,Apartment
607,"Bryanston Square, Marylebone, W1H",901085000,4,Flat
608,"Mallord Street, Chelsea, London, SW3",901085000,7,End of Terrace
609,"Bryanston Square, London, W1H",901085000,5,Apartment
610,"Lonsdale Road, Notting Hill, London",901085000,5,Terraced
611,"Marylebone High Street, London, W1U",901085000,5,Flat
612,"Marylebone High Street, London, W1U",901085000,7,Flat
613,"Holland Park Villas, Campden Hill, W8",901085000,3,Flat
614,"Davies Street, Mayfair, London, W1K",901085000,3,Flat
615,"Park Street, Mayfair, London, W1K",901085000,5,Flat
616,"Castelnau, Barnes, London, SW13",901085000,9,Detached
617,"Netherhall Gardens, London, NW3",901085000,5,Detached
618,"Merchant Square, Paddington, London, W2",901085000,5,Apartment
619,"Charles Street, Mayfair",901085000,5,House
620,"Castelnau, Barnes, London, SW13",901085000,7,Detached
621,"Mallord Street, London, SW3",901085000,26,House
622,"Albert Gate Court, London, SW1X",901085000,5,Apartment
623,"Lonsdale Road, London, W11",901085000,5,Terraced
624,"Cross Deep, Twickenham, TW1",901085000,6,Detached
625,"Awre Road, Blakeney, GL15 4AA",132512500,5,5 bedroom detached house
626,"Waverley Road, Bristol, BS6 6ET",116611000,4,5 bedroom end of terrace house
627,"Woodland Place, Penarth, CF64 2EX",106010000,5,5 bedroom semi-detached house
628,"Eastfield Park, Weston-super-mare, BS23 2PE",106004699,5,7 bedroom detached house
629,"81-82 Marshfield Road, Chippenham, SN15 1JR",100709500,5,26 bedroom detached house
630,"North Wootton, Shepton Mallet, BA4 4EZ",90108500,4,5 bedroom detached house
631,"Birchwood Road, Bristol, BS4 4QN",90108500,4,5 bedroom detached bungalow
632,"Elm Grove, Calne, SN11 0FE",84808000,4,6 bedroom detached house
633,"St. Marys Road, Monmouth, NP25 3JE",84808000,5,5 bedroom detached house
634,"Jarmany Hill, Somerton, TA11 6DA",84808000,5,4 bedroom detached house
635,"Leigh Road, Frome, BA11 3LP",82687800,5,5 bedroom detached house
636,"Newport Road, Cardiff, CF3 2UR",82687800,4,5 bedroom detached house
637,"The Old Orchard, Bristol, BS16 9AR",81627700,4,5 bedroom detached house
638,"Greenhill Lane, Bristol, BS11 0UZ",81097650,4,4 bedroom detached house
639,"Court Farm Road, Bristol, BS30 9AA",79507500,5,4 bedroom detached house
640,"Holywell Road, Edington, TA7 9LD",79507500,5,4 bedroom semi-detached house
641,"Park Lane, Bristol, BS36 2EW",79507500,2,5 bedroom detached house
642,"Wellesley Green, Bruton, BA10 0DU",76857250,3,5 bedroom detached house
643,"Great Somerford, Chippenham, SN15 5JQ",76857250,3,5 bedroom detached house
644,"Crescent Gardens, Bath, BA1 2NA",75267100,5,4 bedroom semi-detached house
645,"Long Wood Meadows, Bristol, BS16 1GP",74207000,4,4 bedroom detached house
646,"Fairways, Bristol, BS31 3HX",71556750,4,4 bedroom detached bungalow
647,"Wheeler Way, Malmesbury, SN16 9GD",71556750,3,5 bedroom detached house
648,"Cleeve Place, Bristol, BS48 2UF",71556750,3,5 bedroom detached house
649,"22 Redwood Drive, Bristol, BS8 3DZ",68906500,7,2 bedroom ground floor flat
650,"Old Gloucester Road, Thornbury, BS35 3UG",68906500,5,3 bedroom detached house
651,"The Doward, Ross-on-wye, HR9 6DU",68906500,4,3 bedroom detached house
652,"Erleigh Drive, Chippenham, SN15 2NQ",67846400,3,5 bedroom detached house
653,"Old Hill, Christchurch, NP18 1JZ",66256250,4,4 bedroom detached house
654,"Ash Lane, Wells, BA5 2LU",66256250,4,4 bedroom detached bungalow
655,"Beckford Drive, Bath, BA1 9AU",65726200,4,3 bedroom detached house
656,"Birch Avenue, Weston-super-mare, BS24 0PA",63606000,4,3 bedroom detached bungalow
657,"Poplar Road, Burnham-on-sea, TA8 2HD",63075950,4,7 bedroom character property
658,"Barrow Gurney, Bristol, BS48 3SF",63075950,4,5 bedroom semi-detached house
659,"Bristol Road, Radstock, BA3 3EE",63075950,4,4 bedroom detached house
660,"Arbutus Drive, Bristol, BS9 2PN",62545900,3,3 bedroom semi-detached house
661,"High Six Gardens, Bristol, BS34 5SS",62545900,3,4 bedroom detached house
662,"Bell Piece - Sutton Benger, Chippenham, SN15 4SL",60955750,4,4 bedroom detached house
663,"Tuffley Road, Bristol, BS10 5EG",59895650,3,4 bedroom terraced house
664,"Maes Y Rhiw Court, Greenmeadow, NP44 5HA",59365600,4,4 bedroom detached house
665,"Burma Road, Stroud, GL6 0DT",58305500,4,4 bedroom chalet
666,"Pantbach Place, Cardiff, CF14 1UN",58305500,3,4 bedroom detached house
667,"Sparrowbill Way, Bristol, BS34 5AZ",58305500,5,4 bedroom detached house
668,"Cumberland Road, Bristol, BS1 6UQ",58305500,4,3 bedroom apartment
669,"Phillips Grove - Yatton Keynell, Chippenham, SN14 7FA",58199490,3,3 bedroom detached house
670,"Studley Gardens - Studley, Calne, SN11 9FR",55655250,4,4 bedroom detached house
671,"Dorset Street, Bath, BA2 3RA",55125200,2,3 bedroom terraced house
672,"Embassy Road, Whitehall, BS5 7EB",55125200,4,4 bedroom semi-detached house
673,"Meadowgate Close, Cardiff, CF14 7EX",55125200,4,4 bedroom detached house
674,"Walden Road, Bristol, BS31 1QW",53005000,5,3 bedroom end of terrace house
675,"Wordsworth Avenue, Cardiff, CF24 3FQ",53005000,3,5 bedroom semi-detached house
676,"Fennel Road, Bristol, BS20 7AR",53005000,4,4 bedroom semi-detached house
677,"Wessex Avenue, Bristol, BS7 0DE",53004893,4,3 bedroom terraced house
678,"Winchcombe Road, Bristol, BS36 2AG",52474950,4,4 bedroom semi-detached house
679,"Guinea Street, Bristol, BS1 6SD",52474950,3,2 bedroom flat
680,"Joyford Hill, Coleford, GL16 7AH",50354750,4,4 bedroom detached house
681,"Dunwear, Nr. Bridgwater, TA6 5HH",50354750,4,4 bedroom detached house
682,"Roberta Walk, Bridgwater, TA5 2GW",50354750,4,5 bedroom detached house
683,"Stallcourt Avenue, Cardiff, CF23 5AN",50354750,3,3 bedroom terraced house
684,"Llangorse Drive, Rogerstone, NP10 9HJ",49294650,4,4 bedroom detached house
685,"Borage Close, Cardiff, CF23 8SJ",49294650,3,4 bedroom detached house
686,"Wellow Lane, Bath, BA2 8JS",49294650,5,4 bedroom detached house
687,"St. Agatha Road, Cardiff, CF14 4EA",48764600,3,3 bedroom semi-detached house
688,"Clos Enfys, Caerphilly, CF83 1SB",47704500,3,4 bedroom detached house
689,"Monkstone Drive, Burnham-on-sea, TA8 2NW",47704500,4,4 bedroom detached house
690,"Noble Avenue, Bristol, BS30 8YY",47704500,3,4 bedroom semi-detached house
691,"Estoril, Bristol, BS37 4DW",47704500,4,3 bedroom detached bungalow
692,"Allensbank Road, Cardiff, CF14 3QY",47704500,3,4 bedroom semi-detached house
693,"Wapley Rank, Bristol, BS37 8RP",47704500,4,3 bedroom terraced house
694,"Marlborough Road, Cardiff, CF23 5BX",47704500,4,5 bedroom terraced house
695,"Imperial Walk, Bristol, BS14 9AD",47279929,5,3 bedroom semi-detached house
696,"Runnymead Avenue, Bristol, BS4 5BA",47174450,4,3 bedroom semi-detached house
